order_details_id,order_id,order_date,order_time,item_id
1,1,"Sunday, 1 January 2023",11:38:36 am,109
2,2,"Sunday, 1 January 2023",11:57:40 am,108
3,2,"Sunday, 1 January 2023",11:57:40 am,124
4,2,"Sunday, 1 January 2023",11:57:40 am,117
5,2,"Sunday, 1 January 2023",11:57:40 am,129
6,2,"Sunday, 1 January 2023",11:57:40 am,106
7,3,"Sunday, 1 January 2023",12:12:28 pm,117
8,3,"Sunday, 1 January 2023",12:12:28 pm,119
9,4,"Sunday, 1 January 2023",12:16:31 pm,117
10,5,"Sunday, 1 January 2023",12:21:30 pm,117
11,6,"Sunday, 1 January 2023",12:29:36 pm,101
12,6,"Sunday, 1 January 2023",12:29:36 pm,114
13,7,"Sunday, 1 January 2023",12:50:37 pm,123
14,8,"Sunday, 1 January 2023",12:51:37 pm,123
15,9,"Sunday, 1 January 2023",12:52:01 pm,108
16,9,"Sunday, 1 January 2023",12:52:01 pm,126
17,9,"Sunday, 1 January 2023",12:52:01 pm,110
18,9,"Sunday, 1 January 2023",12:52:01 pm,117
19,9,"Sunday, 1 January 2023",12:52:01 pm,117
20,9,"Sunday, 1 January 2023",12:52:01 pm,129
21,9,"Sunday, 1 January 2023",12:52:01 pm,122
22,9,"Sunday, 1 January 2023",12:52:01 pm,130
23,9,"Sunday, 1 January 2023",12:52:01 pm,132
24,10,"Sunday, 1 January 2023",1:00:15 pm,129
25,10,"Sunday, 1 January 2023",1:00:15 pm,105
26,11,"Sunday, 1 January 2023",1:02:59 pm,101
27,11,"Sunday, 1 January 2023",1:02:59 pm,102
28,11,"Sunday, 1 January 2023",1:02:59 pm,102
29,11,"Sunday, 1 January 2023",1:02:59 pm,113
30,12,"Sunday, 1 January 2023",1:04:41 pm,102
31,12,"Sunday, 1 January 2023",1:04:41 pm,102
32,12,"Sunday, 1 January 2023",1:04:41 pm,104
33,12,"Sunday, 1 January 2023",1:04:41 pm,117
34,13,"Sunday, 1 January 2023",1:11:55 pm,129
35,14,"Sunday, 1 January 2023",1:14:19 pm,114
36,15,"Sunday, 1 January 2023",1:33:00 pm,107
37,15,"Sunday, 1 January 2023",1:33:00 pm,124
38,15,"Sunday, 1 January 2023",1:33:00 pm,121
39,15,"Sunday, 1 January 2023",1:33:00 pm,114
40,16,"Sunday, 1 January 2023",1:34:07 pm,125
41,16,"Sunday, 1 January 2023",1:34:07 pm,111
42,16,"Sunday, 1 January 2023",1:34:07 pm,106
43,17,"Sunday, 1 January 2023",1:53:00 pm,101
44,17,"Sunday, 1 January 2023",1:53:00 pm,116
45,17,"Sunday, 1 January 2023",1:53:00 pm,124
46,17,"Sunday, 1 January 2023",1:53:00 pm,125
47,17,"Sunday, 1 January 2023",1:53:00 pm,117
48,17,"Sunday, 1 January 2023",1:53:00 pm,127
49,17,"Sunday, 1 January 2023",1:53:00 pm,128
50,17,"Sunday, 1 January 2023",1:53:00 pm,129
51,17,"Sunday, 1 January 2023",1:53:00 pm,118
52,17,"Sunday, 1 January 2023",1:53:00 pm,131
53,18,"Sunday, 1 January 2023",1:57:08 pm,111
54,19,"Sunday, 1 January 2023",1:59:09 pm,110
55,19,"Sunday, 1 January 2023",1:59:09 pm,120
56,20,"Sunday, 1 January 2023",2:03:08 pm,107
57,20,"Sunday, 1 January 2023",2:03:08 pm,124
58,21,"Sunday, 1 January 2023",2:14:29 pm,110
59,22,"Sunday, 1 January 2023",2:16:26 pm,124
60,22,"Sunday, 1 January 2023",2:16:26 pm,110
61,22,"Sunday, 1 January 2023",2:16:26 pm,105
62,23,"Sunday, 1 January 2023",2:19:03 pm,105
63,24,"Sunday, 1 January 2023",2:23:01 pm,101
64,24,"Sunday, 1 January 2023",2:23:01 pm,110
65,24,"Sunday, 1 January 2023",2:23:01 pm,113
66,24,"Sunday, 1 January 2023",2:23:01 pm,119
67,25,"Sunday, 1 January 2023",2:44:44 pm,120
68,25,"Sunday, 1 January 2023",2:44:44 pm,106
69,26,"Sunday, 1 January 2023",2:54:26 pm,108
70,26,"Sunday, 1 January 2023",2:54:26 pm,132
71,27,"Sunday, 1 January 2023",3:11:17 pm,101
72,27,"Sunday, 1 January 2023",3:11:17 pm,108
73,27,"Sunday, 1 January 2023",3:11:17 pm,131
74,28,"Sunday, 1 January 2023",3:35:46 pm,103
75,29,"Sunday, 1 January 2023",3:41:01 pm,126
76,30,"Sunday, 1 January 2023",3:41:25 pm,106
77,31,"Sunday, 1 January 2023",3:50:18 pm,129
78,31,"Sunday, 1 January 2023",3:50:18 pm,113
79,32,"Sunday, 1 January 2023",3:53:18 pm,107
80,32,"Sunday, 1 January 2023",3:53:18 pm,126
81,32,"Sunday, 1 January 2023",3:53:18 pm,110
82,32,"Sunday, 1 January 2023",3:53:18 pm,117
83,33,"Sunday, 1 January 2023",3:54:08 pm,101
84,33,"Sunday, 1 January 2023",3:54:08 pm,126
85,34,"Sunday, 1 January 2023",4:21:21 pm,114
86,35,"Sunday, 1 January 2023",4:32:04 pm,126
87,35,"Sunday, 1 January 2023",4:32:04 pm,112
88,35,"Sunday, 1 January 2023",4:32:04 pm,113
89,35,"Sunday, 1 January 2023",4:32:04 pm,106
90,36,"Sunday, 1 January 2023",4:54:09 pm,101
91,36,"Sunday, 1 January 2023",4:54:09 pm,108
92,37,"Sunday, 1 January 2023",4:56:09 pm,117
93,37,"Sunday, 1 January 2023",4:56:09 pm,129
94,38,"Sunday, 1 January 2023",5:03:00 pm,109
95,38,"Sunday, 1 January 2023",5:03:00 pm,110
96,39,"Sunday, 1 January 2023",5:07:23 pm,117
97,40,"Sunday, 1 January 2023",5:14:36 pm,125
98,40,"Sunday, 1 January 2023",5:14:36 pm,105
99,41,"Sunday, 1 January 2023",5:15:20 pm,125
100,41,"Sunday, 1 January 2023",5:15:20 pm,126
101,42,"Sunday, 1 January 2023",5:28:09 pm,107
102,42,"Sunday, 1 January 2023",5:28:09 pm,124
103,42,"Sunday, 1 January 2023",5:28:09 pm,129
104,42,"Sunday, 1 January 2023",5:28:09 pm,118
105,43,"Sunday, 1 January 2023",5:38:34 pm,103
106,43,"Sunday, 1 January 2023",5:38:34 pm,117
107,43,"Sunday, 1 January 2023",5:38:34 pm,118
108,44,"Sunday, 1 January 2023",5:54:20 pm,130
109,45,"Sunday, 1 January 2023",5:55:48 pm,125
110,45,"Sunday, 1 January 2023",5:55:48 pm,109
111,45,"Sunday, 1 January 2023",5:55:48 pm,106
112,46,"Sunday, 1 January 2023",6:25:51 pm,104
113,46,"Sunday, 1 January 2023",6:25:51 pm,108
114,46,"Sunday, 1 January 2023",6:25:51 pm,106
115,47,"Sunday, 1 January 2023",6:26:34 pm,105
116,47,"Sunday, 1 January 2023",6:26:34 pm,132
117,48,"Sunday, 1 January 2023",6:26:42 pm,104
118,48,"Sunday, 1 January 2023",6:26:42 pm,126
119,48,"Sunday, 1 January 2023",6:26:42 pm,119
120,48,"Sunday, 1 January 2023",6:26:42 pm,122
121,49,"Sunday, 1 January 2023",6:33:00 pm,120
122,50,"Sunday, 1 January 2023",6:41:01 pm,  
123,51,"Sunday, 1 January 2023",6:48:28 pm,101
124,51,"Sunday, 1 January 2023",6:48:28 pm,112
125,52,"Sunday, 1 January 2023",6:53:02 pm,109
126,52,"Sunday, 1 January 2023",6:53:02 pm,129
127,52,"Sunday, 1 January 2023",6:53:02 pm,122
128,53,"Sunday, 1 January 2023",6:54:17 pm,112
129,53,"Sunday, 1 January 2023",6:54:17 pm,123
130,54,"Sunday, 1 January 2023",7:01:45 pm,119
131,54,"Sunday, 1 January 2023",7:01:45 pm,106
132,55,"Sunday, 1 January 2023",7:03:19 pm,118
133,55,"Sunday, 1 January 2023",7:03:19 pm,122
134,56,"Sunday, 1 January 2023",7:07:00 pm,108
135,56,"Sunday, 1 January 2023",7:07:00 pm,128
136,56,"Sunday, 1 January 2023",7:07:00 pm,105
137,57,"Sunday, 1 January 2023",7:10:51 pm,108
138,58,"Sunday, 1 January 2023",7:30:40 pm,124
139,58,"Sunday, 1 January 2023",7:30:40 pm,113
140,59,"Sunday, 1 January 2023",7:40:08 pm,127
141,59,"Sunday, 1 January 2023",7:40:08 pm,112
142,59,"Sunday, 1 January 2023",7:40:08 pm,113
143,60,"Sunday, 1 January 2023",8:05:16 pm,104
144,60,"Sunday, 1 January 2023",8:05:16 pm,125
145,61,"Sunday, 1 January 2023",8:08:43 pm,101
146,61,"Sunday, 1 January 2023",8:08:43 pm,117
147,62,"Sunday, 1 January 2023",8:50:16 pm,101
148,62,"Sunday, 1 January 2023",8:50:16 pm,123
149,63,"Sunday, 1 January 2023",8:51:42 pm,112
150,64,"Sunday, 1 January 2023",8:52:08 pm,107
151,65,"Sunday, 1 January 2023",9:16:00 pm,112
152,65,"Sunday, 1 January 2023",9:16:00 pm,120
153,65,"Sunday, 1 January 2023",9:16:00 pm,122
